0,0
0.0024,-0.0252
0.0108,-0.2268
0.012,-0.252
0.0158,-0.2912
0.0424,-0.6048
0.05,-0.644
0.0556,-0.6352
0.0724,-0.5648
0.078,-0.556
0.0804,-0.576
0.0876,-0.736
0.09,-0.756
0.094,-0.74
0.106,-0.612
0.11,-0.596
0.1104,-0.6072
0.1116,-0.6968
0.112,-0.708
0.1132,-0.6996
0.1174,-0.6324
0.118,-0.624
0.119,-0.6228
0.126,-0.6132
0.128,-0.612
0.1304,-0.632
0.1376,-0.792
0.14,-0.812
0.1472,-0.7728
0.1688,-0.4592
0.176,-0.42
0.1768,-0.4228
0.1792,-0.4452
0.18,-0.448
0.1916,-0.4044
0.2264,-0.0556
0.238,-0.012
0.2384,-0.0144
0.2396,-0.0336
0.24,-0.036
0.2476,0.0088
0.2704,0.3672
0.278,0.412
0.2792,0.4084
0.2828,0.3796
0.284,0.376
0.292,0.4132
0.316,0.7108
0.324,0.748
0.3272,0.7368
0.3384,0.6472
0.34,0.636
0.3422,0.6068
0.3576,0.3732
0.362,0.344
0.3676,0.35
0.3844,0.398
0.39,0.404
0.392,0.3972
0.398,0.3428
0.4,0.336
0.4032,0.366
0.4128,0.606
0.416,0.636
0.4172,0.6336
0.4208,0.6144
0.422,0.612
0.4256,0.63
0.4364,0.774
0.44,0.792
0.4416,0.7908
0.4464,0.7812
0.448,0.78
0.452,0.7904
0.464,0.8736
0.468,0.884
0.472,0.864
0.486,0.704
0.488,0.684
0.4896,0.6648
0.5024,0.5112
0.504,0.492
0.5074,0.4628
0.5312,0.2292
0.538,0.2
0.5452,0.2208
0.5668,0.3872
0.574,0.408
0.5852,0.3768
0.6188,0.1272
0.63,0.096
0.6348,0.1336
0.6516,0.4344
0.654,0.472
0.6552,0.4752
0.6636,0.5008
0.666,0.504
0.6668,0.5008
0.6696,0.4752
0.67,0.472
0.6712,0.4624
0.6808,0.3856
0.682,0.376
0.6856,0.3756
0.7144,0.3724
0.718,0.372
0.7198,0.3412
0.7324,0.0948
0.736,0.064
0.7372,0.076
0.7408,0.172
0.742,0.184
0.7456,0.158
0.7582,-0.05
0.76,-0.076
0.761,-0.0784
0.768,-0.0976
0.77,-0.1
0.772,-0.0968
0.779,-0.0712
0.78,-0.068
0.7812,-0.0548
0.7896,0.0508
0.792,0.064
0.7936,0.0584
0.7992,0.0136
0.8,0.008
0.8012,0.0032
0.8096,-0.0352
0.812,-0.04
0.8152,-0.0224
0.8264,0.1184
0.828,0.136
0.832,0.1628
0.864,0.3772
0.868,0.404
0.8694,0.4068
0.8792,0.4292
0.882,0.432
0.8848,0.4292
0.8946,0.4068
0.896,0.404
0.897,0.3812
0.904,0.1988
0.906,0.176
0.9112,0.1764
0.9268,0.1796
0.932,0.18
0.9344,0.178
0.9416,0.162
0.944,0.16
0.9484,0.1664
0.9638,0.2176
0.966,0.224
0.967,0.2244
0.974,0.2276
0.976,0.228
0.9808,0.2052
0.9952,0.0228
1,0
