0,0
0.024,0.0772
0.046,0.3212
0.094,0.4692
0.108,0.6948
0.116,0.7068
0.12,0.772
0.1282,0.8108
0.1376,0.8732
0.15,0.896
0.182,0.8692
0.21,0.7908
0.234,0.792
0.2632,0.7432
0.3392,0.7952
0.3832,0.7512
0.4152,0.7792
0.4448,0.7808
0.474,0.764
0.4772,0.7588
0.5028,0.7172
0.506,0.712
0.5116,0.6352
0.5236,0.3072
0.5564,0.0207999999999999
0.562,-0.0560000000000001
0.5656,-0.0912000000000001
0.5756,-0.2792
0.5944,-0.3728
0.598,-0.408
0.6034,-0.4132
0.6412,-0.4548
0.65,-0.428
0.6664,-0.4444
0.7096,-0.3196
0.724,-0.324
0.734,-0.3104
0.769,-0.3616
0.774,-0.368
0.7778,-0.4076
0.7878,-0.4916
0.7982,-0.6804
0.812,-0.764
0.8166,-0.7724
0.8488,-0.8396
0.858,-0.848
0.8692,-0.838
0.9084,-0.758
0.914,-0.748
0.9226,-0.6732
0.9326,-0.4452
0.9666,-0.3012
0.9828,-0.0748
1,0
